train_period,test_period,CAGR,Sharpe,MaxDD,Avg_Positions,Trades
2018-2021,2022-2023,0.6034118542742175,2.6596335869131433,-0.029743735053417764,4.48559670781893,220
2019-2022,2023-2024,0.608886381716842,3.246291965809258,-0.02288608401175063,4.673469387755102,229
2020-2023,2024-2025,0.5850212058514097,2.8336459836343755,-0.0567716884142887,4.610655737704918,226
2021-2024,2025-2026,1.0173931213785954,2.769824866831747,-0.021838881271124544,4.7727272727272725,234
