threshold,CAGR,Sharpe,MaxDD,trades
-0.01,18.827850099766877,3.0744234501842143,-0.9048808722176996,1223
0.0,18.827850099766877,3.0744234501842143,-0.9048808722176996,1223
0.005,18.827850099766877,3.0744234501842143,-0.9048808722176996,1223
0.01,18.932800422972264,3.0771935507979475,-0.9048808722176996,1223
0.02,41.884851555908945,3.205838698841754,-0.8889319134436797,1206
0.03,208.0629775209815,3.604554749066024,-0.9337945563577933,1104
