コード,銘柄名,順位
9418.T,Ｕ－ＮＥＸＴ　ＨＯＬＤＩＮＧＳ,872
6707.T,サンケン電気,873
3439.T,三ツ知,874
4318.T,クイック,875
6428.T,オーイズミ,876
2461.T,ファンコミュニケーションズ,877
3199.T,綿半ホールディングス,878
3197.T,すかいらーくホールディングス,879
8304.T,あおぞら銀行,880
4662.T,フォーカスシステムズ,881
4362.T,日本精化,882
6218.T,エンシュウ,883
1941.T,中電工,884
4736.T,日本ラッド,885
6246.T,テクノスマート,886
5233.T,太平洋セメント,887
2291.T,福留ハム,888
4410.T,ハリマ化成グループ,889
4956.T,コニシ,890
7613.T,シークス,891
2270.T,雪印メグミルク,892
2936.T,ベースフード,893
7752.T,リコー,894
2981.T,ランディックス,895
1887.T,日本国土開発,896
7261.T,マツダ,897
9003.T,相鉄ホールディングス,898
9052.T,山陽電気鉄道,899
2162.T,ｎｍｓ　ホールディングス,900
7689.T,コパ・コーポレーション,901
8383.T,鳥取銀行,902
7370.T,Ｅｎｊｉｎ,903
5659.T,日本精線,904
5903.T,シンポ,905
6677.T,エスケーエレクトロニクス,906
2009.T,鳥越製粉,907
3395.T,サンマルクホールディングス,908
9536.T,西部ガスホールディングス,909
2335.T,キューブシステム,910
8737.T,あかつき本社,911
8908.T,毎日コムネット,912
7942.T,ＪＳＰ,913
8742.T,小林洋行,914
5576.T,オービーシステム,915
3024.T,クリエイト,916
2418.T,ツカダ・グローバルホールディング,917
4484.T,ランサーズ,918
9147.T,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,919
7554.T,幸楽苑,920
5199.T,不二ラテックス,921
6785.T,鈴木,922
6485.T,前澤給装工業,923
6210.T,ＴＯＹＯイノベックス,924
7205.T,日野自動車,925
6364.T,ＡＩＲＭＡＮ,926
4519.T,中外製薬,927
7545.T,西松屋チェーン,928
7269.T,スズキ,929
1418.T,インターライフホールディングス,930
6727.T,ワコム,931
4972.T,綜研化学,932
7480.T,スズデン,933
6964.T,サンコー,934
4503.T,アステラス製薬,935
1773.T,ワイ・ティー・エル・コーポレーション・バーハッド,936
4496.T,コマースＯｎｅホールディングス,937
7347.T,マーキュリアホールディングス,938
2344.T,平安レイサービス,939
3834.T,朝日ネット,940
3529.T,アツギ,941
4206.T,アイカ工業,942
1813.T,不動テトラ,943
6222.T,島精機製作所,944
2815.T,アリアケジャパン,945
6332.T,月島ホールディングス,946
9312.T,ケイヒン,947
2805.T,ヱスビー食品,948
5445.T,東京鐵鋼,949
7273.T,イクヨ,950
2910.T,ロック・フィールド,951
2471.T,エスプール,952
9753.T,アイエックス・ナレッジ,953
6612.T,バルミューダ,954
5984.T,兼房,955
2130.T,メンバーズ,956
9404.T,日本テレビホールディングス,957
7181.T,かんぽ生命保険,958
2185.T,シイエム・シイ,959
1867.T,植木組,960
4189.T,ＫＨネオケム,961
2379.T,ディップ,962
9201.T,日本航空,963
7812.T,クレステック,964
8628.T,松井証券,965
4403.T,日油,966
6863.T,ニレコ,967
7916.T,光村印刷,968
3551.T,ダイニック,969
7292.T,村上開明堂,970
1871.T,ピーエス・コンストラクション,971
8008.T,ヨンドシーホールディングス,972
2158.T,ＦＲＯＮＴＥＯ,973
3559.T,ピーバンドットコム,974
2698.T,キャンドゥ,975
6230.T,ＳＡＮＥＩ,976
8157.T,都築電気,977
5244.T,ｊｉｇ．ｊｐ,978
5184.T,ニチリン,979
9904.T,ベリテ,980
7932.T,ニッピ,981
8053.T,住友商事,982
7150.T,島根銀行,983
4183.T,三井化学,984
2445.T,タカミヤ,985
2152.T,幼児活動研究会,986
9632.T,スバル興業,987
4544.T,Ｈ．Ｕ．グループホールディングス,988
3788.T,ＧＭＯグローバルサイン・ホールディングス,989
9768.T,いであ,990
4203.T,住友ベークライト,991
2136.T,ヒップ,992
1332.T,ニッスイ,993
4928.T,ノエビアホールディングス,994
4521.T,科研製薬,995
6237.T,イワキポンプ,996
9934.T,因幡電機産業,997
4046.T,大阪ソーダ,998
3943.T,大石産業,999
3686.T,ディー・エル・イー,1000
5285.T,ヤマックス,1001
6804.T,ホシデン,1002
4552.T,ＪＣＲファーマ,1003
4324.T,電通グループ,1004
9351.T,東洋埠頭,1005
7997.T,くろがね工作所,1006
3489.T,フェイスネットワーク,1007
6728.T,アルバック,1008
6455.T,モリタホールディングス,1009
4718.T,早稲田アカデミー,1010
4634.T,ａｒｔｉｅｎｃｅ,1011
6927.T,ヘリオス　テクノ　ホールディング,1012
6037.T,楽待,1013
5201.T,ＡＧＣ,1014
3675.T,クロス・マーケティンググループ,1015
4396.T,システムサポートホールディングス,1016
6430.T,ダイコク電機,1017
5940.T,不二サッシ,1018
4308.T,Ｊストリーム,1019
4386.T,ＳＩＧグループ,1020
8153.T,モスフードサービス,1021
6867.T,リーダー電子,1022
6888.T,アクモス,1023
5967.T,ＴＯＮＥ,1024
2750.T,石光商事,1025
9044.T,南海電気鉄道,1026
7944.T,ローランド,1027
7701.T,島津製作所,1028
7782.T,シンシア,1029
6337.T,テセック,1030
8750.T,第一生命ホールディングス,1031
6370.T,栗田工業,1032
7112.T,キューブ,1033
8802.T,三菱地所,1034
8138.T,三京化成,1035
160A.T,アズパートナーズ,1036
3864.T,三菱製紙,1037
6417.T,ＳＡＮＫＹＯ,1038
5482.T,愛知製鋼,1039
3333.T,あさひ,1040
8032.T,日本紙パルプ商事,1041
9345.T,ビズメイツ,1042
3498.T,霞ヶ関キャピタル,1043
9322.T,川西倉庫,1044
6571.T,キュービーネットホールディングス,1045
1909.T,日本ドライケミカル,1046
4356.T,応用技術,1047
8133.T,伊藤忠エネクス,1048
3639.T,ボルテージ,1049
1951.T,エクシオグループ,1050
3433.T,トーカロ,1051
5757.T,ＣＫサンエツ,1052
4743.T,アイティフォー,1053
3092.T,ＺＯＺＯ,1054
6184.T,鎌倉新書,1055
7111.T,ＩＮＥＳＴ,1056
4681.T,リゾートトラスト,1057
5187.T,クリエートメディック,1058
2804.T,ブルドックソース,1059
3983.T,オロ,1060
4657.T,環境管理センター,1061
2721.T,ジェイホールディングス,1062
7851.T,カワセコンピュータサプライ,1063
2114.T,フジ日本,1064
6498.T,キッツ,1065
2183.T,リニカル,1066
7951.T,ヤマハ,1067
3858.T,ユビキタスＡＩ,1068
8316.T,三井住友フィナンシャルグループ,1069
5401.T,日本製鉄,1070
3277.T,サンセイランディック,1071
9759.T,ＮＳＤ,1072
2488.T,ＪＴＰ,1073
8152.T,ソマール,1074
8194.T,ライフコーポレーション,1075
7466.T,ＳＰＫ,1076
4430.T,東海ソフト,1077
7965.T,象印マホービン,1078
2789.T,カルラ,1079
6209.T,リケンＮＰＲ,1080
7955.T,クリナップ,1081
3548.T,バロックジャパンリミテッド,1082
1812.T,鹿島建設,1083
3645.T,メディカルネット,1084
6103.T,オークマ,1085
7198.T,ＳＢＩアルヒ,1086
7921.T,ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ,1087
8252.T,丸井グループ,1088
6277.T,ホソカワミクロン,1089
4238.T,ミライアル,1090
3947.T,ダイナパック,1091
7079.T,ＷＤＢココ,1092
5527.T,ｐｒｏｐｅｒｔｙ　ｔｅｃｈｎｏｌｏｇｉｅｓ,1093
3393.T,スターティアホールディングス,1094
3276.T,ＪＰＭＣ,1095
8747.T,豊トラスティ証券,1096
6136.T,オーエスジー,1097
6071.T,ＩＢＪ,1098
3662.T,エイチームホールディングス,1099
6794.T,フォスター電機,1100
9663.T,ナガワ,1101
3480.T,ジェイ・エス・ビー,1102
6228.T,ジェイ・イー・ティ,1103
4023.T,クレハ,1104
3174.T,ハピネス・アンド・ディ,1105
3496.T,アズーム,1106
9692.T,シーイーシー,1107
2429.T,ワールドホールディングス,1108
1914.T,日本基礎技術,1109
9733.T,ナガセ,1110
7094.T,ＮｅｘＴｏｎｅ,1111
4661.T,オリエンタルランド,1112
3766.T,システムズ・デザイン,1113
6853.T,共和電業,1114
1921.T,巴コーポレーション,1115
8424.T,芙蓉総合リース,1116
5971.T,共和工業所,1117
166A.T,タスキホールディングス,1118
3494.T,マリオン,1119
9409.T,テレビ朝日ホールディングス,1120
7649.T,スギホールディングス,1121
9064.T,ヤマトホールディングス,1122
2801.T,キッコーマン,1123
7590.T,タカショー,1124
6445.T,ジャノメ,1125
5965.T,フジマック,1126
3080.T,ジェーソン,1127
6630.T,ヤーマン,1128
9434.T,ソフトバンク,1129
4951.T,エステー,1130
4668.T,明光ネットワークジャパン,1131
365A.T,伊澤タオル,1132
4667.T,アイサンテクノロジー,1133
8119.T,三栄コーポレーション,1134
9423.T,フォーバル・リアルストレート,1135
5280.T,ヨシコン,1136
2181.T,パーソルホールディングス,1137
9413.T,テレビ東京ホールディングス,1138
6326.T,クボタ,1139
2685.T,アンドエスティＨＤ,1140
3950.T,ザ・パック,1141
9031.T,西日本鉄道,1142
4060.T,ｒａｋｕｍｏ,1143
1417.T,ミライト・ワン,1144
7510.T,たけびし,1145
4625.T,アトミクス,1146
9534.T,北海道瓦斯,1147
4829.T,日本エンタープライズ,1148
8697.T,日本取引所グループ,1149
1938.T,日本リーテック,1150
6448.T,ブラザー工業,1151
7191.T,イントラスト,1152
4901.T,富士フイルムホールディングス,1153
6156.T,エーワン精密,1154
2874.T,横浜冷凍,1155
3148.T,クリエイトＳＤホールディングス,1156
8173.T,上新電機,1157
8766.T,東京海上ホールディングス,1158
6578.T,コレックホールディングス,1159
7071.T,アンビスホールディングス,1160
2590.T,ダイドーグループホールディングス,1161
7367.T,セルム,1162
6651.T,日東工業,1163
9364.T,上組,1164
4998.T,フマキラー,1165
3443.T,川田テクノロジーズ,1166
4054.T,日本情報クリエイト,1167
367A.T,プリモグローバルホールディングス,1168
6626.T,ＳＥＭＩＴＥＣ,1169
6088.T,シグマクシス・ホールディングス,1170
6748.T,星和電機,1171
3440.T,日創グループ,1172
4666.T,パーク２４,1173
9896.T,ＪＫホールディングス,1174
8892.T,エスコン,1175
7550.T,ゼンショーホールディングス,1176
3106.T,倉敷紡績,1177
3984.T,ユーザーローカル,1178
5446.T,北越メタル,1179
3306.T,日本製麻,1180
9790.T,福井コンピュータホールディングス,1181
9470.T,学研ホールディングス,1182
6875.T,メガチップス,1183
3299.T,ムゲンエステート,1184
1716.T,第一カッター興業,1185
3042.T,セキュアヴェイル,1186
8040.T,東京ソワール,1187
3925.T,ダブルスタンダード,1188
2778.T,パレモ・ホールディングス,1189
8025.T,ツカモトコーポレーション,1190
8059.T,第一実業,1191
5284.T,ヤマウホールディングス,1192
6645.T,オムロン,1193
9994.T,やまや,1194
2217.T,モロゾフ,1195
2927.T,ＡＦＣ－ＨＤアムスライフサイエンス,1196
8707.T,岩井コスモホールディングス,1197
8061.T,西華産業,1198
4167.T,ココペリ,1199
8163.T,ＳＲＳホールディングス,1200
8278.T,フジ,1201
4188.T,三菱ケミカルグループ,1202
6199.T,セラク,1203
5843.T,ニッポンインシュア,1204
2124.T,ジェイエイシーリクルートメント,1205
9072.T,ニッコンホールディングス,1206
3421.T,稲葉製作所,1207
7931.T,未来工業,1208
4444.T,インフォネット,1209
6988.T,日東電工,1210
9435.T,光通信,1211
7970.T,信越ポリマー,1212
7578.T,ニチリョク,1213
5906.T,エムケー精工,1214
3046.T,ジンズホールディングス,1215
2811.T,カゴメ,1216
6200.T,インソース,1217
5129.T,ＦＩＸＥＲ,1218
3132.T,マクニカホールディングス,1219
145A.T,Ｌ　ｉｓ　Ｂ,1220
7860.T,エイベックス,1221
6471.T,日本精工,1222
147A.T,ソラコム,1223
3087.T,ドトール・日レスホールディングス,1224
3744.T,サイオス,1225
2501.T,サッポロホールディングス,1226
7254.T,ユニバンス,1227
6247.T,日阪製作所,1228
192A.T,インテグループ,1229
1720.T,東急建設,1230
4886.T,あすか製薬ホールディングス,1231
4427.T,ＥｄｕＬａｂ,1232
7134.T,アップガレージグループ,1233
4424.T,Ａｍａｚｉａ,1234
2749.T,ＪＰホールディングス,1235
4097.T,高圧ガス工業,1236
3924.T,ランドコンピュータ,1237
8167.T,リテールパートナーズ,1238
3524.T,日東製網,1239
6563.T,みらいワークス,1240
4345.T,シーティーエス,1241
9603.T,エイチ・アイ・エス,1242
2892.T,日本食品化工,1243
4931.T,新日本製薬,1244
2438.T,アスカネット,1245
8273.T,イズミ,1246
7185.T,ヒロセ通商,1247
7608.T,エスケイジャパン,1248
5301.T,東海カーボン,1249
9722.T,藤田観光,1250
9110.T,ＮＳユナイテッド海運,1251
2687.T,シー・ヴイ・エス・ベイエリア,1252
3151.T,バイタルケーエスケー・ホールディングス,1253
9647.T,協和コンサルタンツ,1254
2791.T,大黒天物産,1255
9974.T,ベルク,1256
3195.T,ジェネレーションパス,1257
3996.T,サインポスト,1258
4437.T,ｇｏｏｄｄａｙｓホールディングス,1259
3011.T,バナーズ,1260
2411.T,ゲンダイエージェンシー,1261
7259.T,アイシン,1262
5616.T,雨風太陽,1263
6432.T,竹内製作所,1264
3712.T,情報企画,1265
4043.T,トクヤマ,1266
7443.T,横浜魚類,1267
9857.T,英和,1268
4574.T,大幸薬品,1269
7609.T,ダイトロン,1270
3623.T,ビリングシステム,1271
3988.T,ＳＹＳホールディングス,1272
4583.T,カイオム・バイオサイエンス,1273
4398.T,ブロードバンドセキュリティ,1274
3075.T,銚子丸,1275
4008.T,住友精化,1276
3105.T,日清紡ホールディングス,1277
6741.T,日本信号,1278
9767.T,日建工学,1279
2654.T,アスモ,1280
1928.T,積水ハウス,1281
9216.T,ビーウィズ,1282
7244.T,市光工業,1283
2991.T,ランドネット,1284
3434.T,アルファＣｏ,1285
8283.T,ＰＡＬＴＡＣ,1286
7164.T,全国保証,1287
9246.T,プロジェクトホールディングス,1288
6472.T,ＮＴＮ,1289
3682.T,エンカレッジ・テクノロジ,1290
2652.T,まんだらけ,1291
8174.T,日本瓦斯,1292
3892.T,岡山製紙,1293
8309.T,三井住友トラストグループ,1294
9702.T,アイ・エス・ビー,1295
9990.T,サックスバー　ホールディングス,1296
9075.T,福山通運,1297
3931.T,バリューゴルフ,1298
3690.T,イルグルム,1299
3089.T,テクノアルファ,1300
7135.T,ジャパンクラフトホールディングス,1301
6810.T,マクセル,1302
6257.T,藤商事,1303
6183.T,ベルシステム２４ホールディングス,1304
9843.T,ニトリホールディングス,1305
2327.T,日鉄ソリューションズ,1306
2497.T,ユナイテッド,1307
8783.T,ａｂｃ,1308
4073.T,ジィ・シィ企画,1309
2975.T,スター・マイカ・ホールディングス,1310
5208.T,有沢製作所,1311
9145.T,ビーイングホールディングス,1312
1878.T,大東建託,1313
4502.T,武田薬品工業,1314
7371.T,Ｚｅｎｋｅｎ,1315
7422.T,東邦レマック,1316
8871.T,ゴールドクレスト,1317
6905.T,コーセル,1318
1381.T,アクシーズ,1319
7864.T,フジシールインターナショナル,1320
4679.T,田谷,1321
2002.T,日清製粉グループ本社,1322
7850.T,総合商研,1323
6137.T,小池酸素工業,1324
7427.T,エコートレーディング,1325
4658.T,日本空調サービス,1326
4746.T,東計電算,1327
9955.T,ヨンキュウ,1328
9173.T,東海汽船,1329
7637.T,白銅,1330
2533.T,オエノンホールディングス,1331
7351.T,グッドパッチ,1332
3241.T,ウィル,1333
6474.T,不二越,1334
3941.T,レンゴー,1335
4839.T,ＷＯＷＯＷ,1336
4061.T,デンカ,1337
6837.T,京写,1338
2432.T,ディー・エヌ・エー,1339
8927.T,明豊エンタープライズ,1340
7552.T,ハピネット,1341
3727.T,アプリックス,1342
8518.T,日本アジア投資,1343
1905.T,テノックス,1344
4845.T,スカラ,1345
7374.T,コンフィデンス・インターワークス,1346
9251.T,ＡＢ＆Ｃｏｍｐａｎｙ,1347
4343.T,イオンファンタジー,1348
2694.T,焼肉坂井ホールディングス,1349
4689.T,ＬＩＮＥヤフー,1350
335A.T,ミライロ,1351
5105.T,ＴＯＹＯ　ＴＩＲＥ,1352
9366.T,サンリツ,1353
3625.T,テックファームホールディングス,1354
5942.T,日本フイルコン,1355
6615.T,ユー・エム・シー・エレクトロニクス,1356
6798.T,ＳＭＫ,1357
3793.T,ドリコム,1358
2121.T,ＭＩＸＩ,1359
3969.T,エイトレッド,1360
8111.T,ゴールドウイン,1361
7740.T,タムロン,1362
4012.T,アクシス,1363
288A.T,ラクサス・テクノロジーズ,1364
4577.T,ダイト,1365
1718.T,美樹工業,1366
4323.T,日本システム技術,1367
3034.T,クオールホールディングス,1368
7937.T,ツツミ,1369
9845.T,パーカーコーポレーション,1370
4650.T,ＳＤエンターテイメント,1371
6932.T,遠藤照明,1372
5947.T,リンナイ,1373
7513.T,コジマ,1374
4177.T,ｉ‐ｐｌｕｇ,1375
7795.T,ＫＹＯＲＩＴＳＵ,1376
3733.T,ソフトウェア・サービス,1377
2459.T,アウンコンサルティング,1378
4554.T,富士製薬工業,1379
6479.T,ミネベアミツミ,1380
3668.T,コロプラ,1381
8803.T,平和不動産,1382
9433.T,ＫＤＤＩ,1383
6249.T,ゲームカードホールディングス,1384
332A.T,ミーク,1385
4887.T,サワイグループホールディングス,1386
6654.T,不二電機工業,1387
9989.T,サンドラッグ,1388
8891.T,ＡＭＧホールディングス,1389
8928.T,穴吹興産,1390
7966.T,リンテック,1391
9627.T,アインホールディングス,1392
8698.T,マネックスグループ,1393
3940.T,ノムラシステムコーポレーション,1394
4166.T,かっこ,1395
7038.T,フロンティア・マネジメント,1396
4369.T,トリケミカル研究所,1397
4641.T,アルプス技研,1398
3678.T,メディアドゥ,1399
255A.T,ジーエルテクノホールディングス,1400
4491.T,コンピューターマネージメント,1401
368A.T,北里コーポレーション,1402
6038.T,イード,1403
5922.T,那須電機鉄工,1404
9991.T,ジェコス,1405
1382.T,ホーブ,1406
8798.T,アドバンスクリエイト,1407
6083.T,ＥＲＩホールディングス,1408
4072.T,電算システムホールディングス,1409
7359.T,東京通信グループ,1410
6925.T,ウシオ電機,1411
2001.T,ニップン,1412
8920.T,東祥,1413
4248.T,竹本容器,1414
3031.T,ラクーンホールディングス,1415
7049.T,識学,1416
3676.T,デジタルハーツホールディングス,1417
4826.T,ＣＩＪ,1418
7228.T,デイトナ,1419
9193.T,東京汽船,1420
6276.T,シリウスビジョン,1421
6743.T,大同信号,1422
2722.T,ＩＫホールディングス,1423
2325.T,ＮＪＳ,1424
9908.T,日本電計,1425
4538.T,扶桑薬品工業,1426
6316.T,丸山製作所,1427
9331.T,キャスター,1428
9869.T,加藤産業,1429
1960.T,サンテック,1430
5932.T,三協立山,1431
7464.T,セフテック,1432
9244.T,デジタリフト,1433
8830.T,住友不動産,1434
2157.T,コシダカホールディングス,1435
1723.T,日本電技,1436
3815.T,メディア工房,1437
3967.T,エルテス,1438
4017.T,クリーマ,1439
9303.T,住友倉庫,1440
7953.T,菊水化学工業,1441
4367.T,広栄化学,1442
6078.T,バリューＨＲ,1443
7744.T,ノーリツ鋼機,1444
9701.T,東京會舘,1445
4350.T,メディカルシステムネットワーク,1446
4421.T,ディ・アイ・システム,1447
7078.T,ＩＮＣＬＵＳＩＶＥ　Ｈｏｌｄｉｎｇｓ,1448
2938.T,オカムラ食品工業,1449
9539.T,京葉瓦斯,1450
7060.T,ギークス,1451
9168.T,ライズ・コンサルティング・グループ,1452
1766.T,東建コーポレーション,1453
7068.T,フィードフォースグループ,1454
2481.T,タウンニュース社,1455
1762.T,高松コンストラクショングループ,1456
5254.T,Ａｒｅｎｔ,1457
7527.T,システムソフト,1458
4428.T,シノプス,1459
417A.T,ブルーゾーンホールディングス,1460
6357.T,三精テクノロジーズ,1461
4896.T,ケイファーマ,1462
9090.T,ＡＺ－ＣＯＭ丸和ホールディングス,1463
4176.T,ココナラ,1464
9956.T,バローホールディングス,1465
4392.T,ＦＩＧ,1466
6675.T,サクサ,1467
4691.T,ワシントンホテル,1468
6664.T,オプトエレクトロニクス,1469
8929.T,青山財産ネットワークス,1470
3917.T,アイリッジ,1471
5288.T,アジアパイルホールディングス,1472
3538.T,ウイルプラスホールディングス,1473
2491.T,バリューコマース,1474
7192.T,日本モーゲージサービス,1475
7745.T,Ａ＆Ｄホロンホールディングス,1476
6273.T,ＳＭＣ,1477
9543.T,静岡ガス,1478
4044.T,セントラル硝子,1479
1860.T,戸田建設,1480
5845.T,全保連,1481
3694.T,オプティム,1482
3896.T,阿波製紙,1483
6302.T,住友重機械工業,1484
5331.T,ノリタケ,1485
6490.T,ＰＩＬＬＡＲ,1486
5110.T,住友ゴム工業,1487
3076.T,あい　ホールディングス,1488
6458.T,新晃工業,1489
4447.T,ピー・ビーシステムズ,1490
7564.T,ワークマン,1491
7072.T,インティメート・マージャー,1492
2653.T,イオン九州,1493
3183.T,ウイン・パートナーズ,1494
4375.T,セーフィー,1495
8563.T,大東銀行,1496
4477.T,ＢＡＳＥ,1497
7638.T,ＮＥＷ　ＡＲＴ　ＨＯＬＤＩＮＧＳ,1498
4617.T,中国塗料,1499
3196.T,ホットランドホールディングス,1500
9021.T,西日本旅客鉄道,1501
5542.T,新報国マテリアル,1502
4112.T,保土谷化学工業,1503
8515.T,アイフル,1504
6361.T,荏原製作所,1505
7040.T,サン・ライフホールディング,1506
6577.T,ベストワンドットコム,1507
7793.T,イメージ・マジック,1508
9621.T,建設技術研究所,1509
9715.T,トランス・コスモス,1510
3288.T,オープンハウスグループ,1511
2220.T,亀田製菓,1512
2579.T,コカ・コーラ　ボトラーズジャパンホールディングス,1513
3719.T,ＡＩストーム,1514
3854.T,アイル,1515
5834.T,ＳＢＩリーシングサービス,1516
3023.T,ラサ商事,1517
8057.T,内田洋行,1518
2763.T,エフティグループ,1519
3670.T,協立情報通信,1520
3374.T,内外テック,1521
8041.T,ＯＵＧホールディングス,1522
4436.T,ミンカブ・ジ・インフォノイド,1523
7992.T,セーラー万年筆,1524
7167.T,めぶきフィナンシャルグループ,1525
5021.T,コスモエネルギーホールディングス,1526
7734.T,理研計器,1527
3082.T,きちりホールディングス,1528
3423.T,エスイー,1529
6897.T,ツインバード,1530
6518.T,三相電機,1531
3097.T,物語コーポレーション,1532
7075.T,ＱＬＳホールディングス,1533
5121.T,藤倉コンポジット,1534
3936.T,グローバルウェイ,1535
2670.T,エービーシー・マート,1536
4937.T,Ｗａｑｏｏ,1537
9308.T,乾汽船,1538
7270.T,ＳＵＢＡＲＵ,1539
4771.T,エフアンドエム,1540
7120.T,ＳＨＩＮＫＯ,1541
3377.T,バイク王＆カンパニー,1542
1835.T,東鉄工業,1543
9978.T,文教堂グループホールディングス,1544
8614.T,東洋証券,1545
4548.T,生化学工業,1546
9041.T,近鉄グループホールディングス,1547
6328.T,荏原実業,1548
5699.T,イボキン,1549
9344.T,アクシスコンサルティング,1550
3826.T,システムインテグレータ,1551
150A.T,ＪＳＨ,1552
7985.T,ネポン,1553
3096.T,オーシャンシステム,1554
2317.T,システナ,1555
4109.T,ステラ　ケミファ,1556
6493.T,ＮＩＴＴＡＮ,1557
3880.T,大王製紙,1558
5247.T,ＢＴＭ,1559
4040.T,南海化学,1560
7494.T,コナカ,1561
7083.T,ＡＨＣグループ,1562
4270.T,ＢｅｅＸ,1563
5936.T,東洋シヤッター,1564
4828.T,ビジネスエンジニアリング,1565
4168.T,ヤプリ,1566
9842.T,アークランズ,1567
4051.T,ＧＭＯフィナンシャルゲート,1568
1850.T,南海辰村建設,1569
9233.T,アジア航測,1570
7129.T,ミアヘルサホールディングス,1571
6143.T,ソディック,1572
3465.T,ケイアイスター不動産,1573
3054.T,ハイパー,1574
6191.T,エアトリ,1575
6050.T,イー・ガーディアン,1576
5122.T,オカモト,1577
1814.T,大末建設,1578
8031.T,三井物産,1579
1853.T,森組,1580
8070.T,東京産業,1581
1828.T,田辺工業,1582
3640.T,電算,1583
2659.T,サンエー,1584
302A.T,ビースタイルホールディングス,1585
6440.T,ＪＵＫＩ,1586
6638.T,ミマキエンジニアリング,1587
3323.T,レカム,1588
6904.T,原田工業,1589
2391.T,プラネット,1590
7611.T,ハイデイ日高,1591
175A.T,Ｗｉｌｌ　Ｓｍａｒｔ,1592
3321.T,ミタチ産業,1593
2752.T,フジオフードグループ本社,1594
7702.T,ＪＭＳ,1595
4976.T,東洋ドライルーブ,1596
4053.T,Ｓｕｎ　Ａｓｔｅｒｉｓｋ,1597
6592.T,マブチモーター,1598
4275.T,カーリット,1599
6535.T,アイモバイル,1600
4481.T,ベース,1601
8416.T,高知銀行,1602
7505.T,扶桑電通,1603
7678.T,あさくま,1604
3845.T,アイフリークモバイル,1605
8030.T,中央魚類,1606
8914.T,エリアリンク,1607
7538.T,大水,1608
6866.T,日置電機,1609
1926.T,ライト工業,1610
5816.T,オーナンバ,1611
6046.T,リンクバル,1612
7807.T,幸和製作所,1613
7236.T,ティラド,1614
2922.T,なとり,1615
1979.T,大氣社,1616
9888.T,ＵＥＸ,1617
9880.T,イノテック,1618
7044.T,ピアラ,1619
6351.T,鶴見製作所,1620
2340.T,極楽湯ホールディングス,1621
9929.T,平和紙業,1622
2760.T,東京エレクトロン　デバイス,1623
6617.T,東光高岳,1624
196A.T,ＭＦＳ,1625
4832.T,ＪＦＥシステムズ,1626
3236.T,プロパスト,1627
415A.T,ＧＭＯ　ＴＥＣＨホールディングス,1628
7434.T,オータケ,1629
4169.T,ＥＮＥＣＨＡＮＧＥ,1630
3908.T,コラボス,1631
2354.T,ＹＥ　ＤＩＧＩＴＡＬ,1632
8365.T,富山銀行,1633
4549.T,栄研化学,1634
5368.T,日本インシュレーション,1635
3409.T,北紡,1636
6145.T,ＮＩＴＴＯＫＵ,1637
6055.T,ジャパンマテリアル,1638
3035.T,ケイティケイ,1639
7846.T,パイロットコーポレーション,1640
5131.T,リンカーズ,1641
6189.T,グローバルキッズＣＯＭＰＡＮＹ,1642
3660.T,アイスタイル,1643
3895.T,ハビックス,1644
5125.T,ファインズ,1645
6045.T,レントラックス,1646
7363.T,ベビーカレンダー,1647
7917.T,ＺＡＣＲＯＳ,1648
6181.T,タメニー,1649
5033.T,ヌーラボ,1650
6566.T,要興業,1651
3683.T,サイバーリンクス,1652
8282.T,ケーズホールディングス,1653
7902.T,ソノコム,1654
2224.T,コモ,1655
9765.T,オオバ,1656
7058.T,共栄セキュリティーサービス,1657
4766.T,ピーエイ,1658
8202.T,ラオックスホールディングス,1659
8609.T,岡三証券グループ,1660
6470.T,大豊工業,1661
9249.T,日本エコシステム,1662
303A.T,ｖｉｓｕｍｏ,1663
7460.T,ヤギ,1664
7413.T,創健社,1665
4912.T,ライオン,1666
369A.T,エータイ,1667
3921.T,ネオジャパン,1668
5974.T,中国工業,1669
8739.T,スパークス・グループ,1670
9419.T,ワイヤレスゲート,1671
4524.T,森下仁丹,1672
9969.T,ショクブン,1673
5962.T,浅香工業,1674
3696.T,セレス,1675
8244.T,近鉄百貨店,1676
4755.T,楽天グループ,1677
7280.T,ミツバ,1678
1950.T,日本電設工業,1679
2175.T,エス・エム・エス,1680
296A.T,令和アカウンティング・ホールディングス,1681
4809.T,パラカ,1682
7229.T,ユタカ技研,1683
6258.T,平田機工,1684
9057.T,遠州トラック,1685
7995.T,バルカー,1686
7792.T,コラントッテ,1687
3762.T,テクマトリックス,1688
2926.T,篠崎屋,1689
6564.T,ミダックホールディングス,1690
6268.T,ナブテスコ,1691
6029.T,アトラグループ,1692
3036.T,アルコニックス,1693
7646.T,ＰＬＡＮＴ,1694
6501.T,日立製作所,1695
3038.T,神戸物産,1696
1414.T,ショーボンドホールディングス,1697
1982.T,日比谷総合設備,1698
4212.T,積水樹脂,1699
4293.T,セプテーニ・ホールディングス,1700
3598.T,山喜,1701
4442.T,バルテス・ホールディングス,1702
8364.T,清水銀行,1703
7287.T,日本精機,1704
5018.T,ＭＯＲＥＳＣＯ,1705
1847.T,イチケン,1706
9962.T,ミスミグループ本社,1707
387A.T,フラー,1708
3293.T,アズマハウス,1709
