Date,Open,High,Low,Close,Volume,Ticker,Name,Industry,MarketCategory,SharesOutstanding,MarketCap,AvgTradingValue20,VolRatio,OBVGrowth,HighRatio,StayRate,ATRRatio,Absorption,VolRatio_Z,OBVGrowth_Z,HighRatio_Z,StayRate_Z,Absorption_Z,ATR_Z,AccumulationScore,IndustryRankPct
2026-06-01,2205.0,2206.0,2205.0,2205.0,38900.0,7490.T,日新商事,卸売業,-,6676444.0,14721559020.0,130819165.0,4.628053484186166,10.264367816091953,0.9856951274027715,0.4666666666666667,1.876540573227046,,6.679858796086785,0.07240748000954011,1.2158580218630122,0.15923564908733323,0.0,-1.4244208795242779,1.8839024767835697,1.0
2026-06-01,2620.0,2765.0,2550.0,2758.0,59800.0,9256.T,サクシード,サービス業,-,3579950.0,9873502100.0,117253110.0,4.924608245342659,-0.7308061066450329,0.9892395982783357,0.5,4.927155823395649,,7.261395794130535,0.02458425477008457,1.2378337898859724,0.3217113872237983,0.0,-8.593013793385078,1.6876677886166656,1.0
2026-06-01,7660.0,7690.0,7580.0,7620.0,191800.0,5644.T,メタルアート,鉄鋼,-,2862640.0,21813316800.0,377657350.0,4.05735056542811,0.976897689768977,0.9883268482490273,0.4166666666666667,1.269133995986235,,5.560723629094037,0.03201186836419962,1.2321747271905172,-0.08447795811736433,0.0,0.0029143064518182067,1.632092841407649,1.0
2026-06-01,1894.0,2123.0,1850.0,2015.0,12039900.0,4392.T,ＦＩＧ,情報・通信業,-,30374273.0,61204160095.0,18800696885.0,5.160386814640048,1.735951114790442,0.6552845528455284,0.6166666666666667,5.129059168968352,,7.723752091691033,0.03531335164847181,-0.8326920702990995,0.8903764707014262,0.0,-9.067463297391612,1.4534112525106895,1.0
2026-06-01,1576.0,1580.0,1576.0,1580.0,596500.0,8141.T,新光商事,卸売業,TOPIX Small 2,28549899.0,45108840420.0,1278555625.0,3.2715374216541724,-0.1797492153503253,0.891647855530474,0.8333333333333334,1.6359833887136161,,4.0197623075778806,0.026981062498395696,0.6327636468728673,1.9464687685884492,0.0,-0.8591393258488451,1.3872519208894676,0.9905660377358491
2026-06-01,1479.0,1749.0,1322.0,1406.0,6749100.0,5367.T,ニッカトー,ガラス・土石製品,-,11955254.0,16809087124.0,965614210.0,4.2350467585653675,-0.9911714607873714,0.8038879359634077,0.48333333333333334,2.656116130659449,,5.909181736183108,0.023451802381136803,0.08865094237434198,0.24047351815556575,0.0,-3.256333250814017,1.3741429382985637,1.0
2026-06-01,1317.0,1317.0,1316.0,1317.0,421000.0,2180.T,サニーサイドアップグループ,サービス業,-,14811344.0,19506540048.0,217102460.0,3.097324520939518,0.19518816120125337,1.0,0.6333333333333333,1.0857391521442645,,3.6781348560171487,0.0286118429422082,1.3045484280846893,0.9716143397696585,0.0,0.4338709726297301,1.3550320599537125,0.9914529914529915
2026-06-01,2953.0,2953.0,2842.0,2873.0,7100.0,4367.T,広栄化学,化学,-,4891020.0,14051900460.0,131089950.0,3.949312092686459,-0.6002541526731415,0.9481848184818482,0.38333333333333336,2.567754997767737,,5.34886269364186,0.025152087124908715,0.983293592289424,-0.24695369625382937,0.0,-3.048694810970373,1.3506846186629837,1.0
2026-06-01,6631.0,6633.0,6630.0,6633.0,612400.0,8283.T,ＰＡＬＴＡＣ,卸売業,TOPIX Mid400,60662724.0,402375848292.0,3555531790.0,3.283725598434285,0.28903000550667235,0.9990962494351558,0.45,1.3304602738113047,,4.043663039128074,0.029020005622365865,1.298945162192295,0.07799778001910071,0.0,-0.14119535163304034,1.282599693047282,0.9811320754716981
2026-06-01,1331.0,1333.0,1328.0,1328.0,324900.0,4800.T,オリコン,情報・通信業,-,12837675.0,17048432400.0,295414705.0,3.6122063058497815,0.2864321608040201,0.9873605947955391,0.4666666666666667,2.9259201984487544,,4.687806076187228,0.02900870636387072,1.226183942531619,0.15923564908733323,0.0,-3.890341596631582,1.2538087516756193,0.9943181818181818
