Date,Ret_20,Ret_60,Ret_120
2018-01-19,-0.029608340363249826,0.11398223463520855,0.19479166966208306
2018-01-22,-0.0049306884061159845,0.09513344979805498,0.18948306369242343
2018-01-23,-0.019926295088791682,0.07662957155544502,0.150490316663027
2018-01-24,-0.06520916329594392,-0.0324464308781658,-0.08171252096207166
2018-01-25,-0.07064095194713711,-0.0629614200092214,-0.10135177386581411
2018-01-26,-0.04410269409121653,0.014487783383506753,0.09402268154144627
2018-01-29,-0.03454986167415388,0.008888695144722202,0.08546034317812717
2018-01-30,-0.037577268732769176,0.007022743318598219,0.044207666626142575
2018-01-31,0.015913116843074736,0.03604995804058013,0.1156290303229087
2018-02-01,-0.008040813046568313,-0.0011617089607190406,0.0633366729453636
2018-02-02,-0.08086012498540619,-0.03556400525547253,-0.0994926960390064
2018-02-05,-0.025807645381770855,0.03859220591966255,0.0623048158459751
2018-02-06,0.007881400155201607,0.07968549329239753,0.14470843592954882
2018-02-07,0.020265506603597876,0.08001226667012624,0.11183685788655512
2018-02-08,0.0017480043009155122,0.05486235444890646,-0.006250072514238357
2018-02-09,0.04275684162292529,0.11258519009890829,0.33134930246988403
2018-02-12,0.034985804167399964,0.0778363706306816,0.16122632484332167
2018-02-13,0.06046913550395324,0.08938292857057387,0.14735785439404273
2018-02-14,0.07304666515013311,0.10424938980423734,0.15799880436475067
2018-02-15,0.062321906989268185,0.10694392251185633,0.14811405471353334
2018-02-16,0.043758068847390426,0.10086902271283861,0.11072306089620787
2018-02-19,0.059476163076893594,0.0924006943180311,0.141756941922137
2018-02-20,-0.028037666075836076,0.015041328348989816,-0.04669313342007242
2018-02-21,-0.03372382797639332,0.00950338871421884,-0.06181174998853099
2018-02-22,0.0027777021635649437,0.03475992333173585,-0.04275378942508964
2018-02-23,0.008797872398605522,0.05452323131136674,0.08183616214693816
2018-02-26,-0.00633875442202167,0.04922314949513714,0.0199018738567301
2018-02-27,0.011581991393279884,0.022149420471346788,-0.05630181130103265
2018-02-28,0.021106208876763614,0.018851002589302036,-0.06043728123527702
2018-03-01,0.04085958048584717,0.023800034682083766,-0.0548763667521814
2018-03-02,0.08551244552218856,0.05005478358267603,-0.014539353813924641
2018-03-05,0.054725987183167145,0.08843416074002264,0.03111863352581869
2018-03-06,0.03997869455160752,0.006431214005357222,-0.06179559466459836
2018-03-07,0.044569083742590276,0.004899726658532011,-0.06170778957902605
2018-03-08,0.02784244364278282,0.07075030646648146,0.04952636662879082
2018-03-09,0.06401666651217554,0.11008133419277151,0.0951049755192088
2018-03-12,0.041274786461054314,0.009512051139613531,-0.05114718983337644
2018-03-13,0.018823919061271295,0.07448247546304523,0.07489391805827342
2018-03-14,0.04395836940787414,0.0036749360221008387,-0.05264564319167059
2018-03-15,0.04111515032580572,0.005255732219035442,-0.04262376638302628
2018-03-16,-0.12384427301592674,-0.06685240877473479,-0.014541993988257475
2018-03-19,-0.09701735389356651,-0.006796766028063929,0.10015641954648721
2018-03-20,-0.08928132778426912,0.015011408463009229,0.07637208205329256
2018-03-21,-0.08279293896431021,0.0254014638718347,0.060840411119267385
2018-03-22,-0.09487255524833513,-0.00484007302936177,-0.029081318270471838
2018-03-23,-0.054348519004370474,0.021807919533526104,0.009687247973460981
2018-03-26,-0.06231044258709438,0.02943332470157993,-0.03343890308358646
2018-03-27,-0.08073564549007128,-0.014593462193474823,0.010110790101565008
2018-03-28,-0.0685259265463979,-0.008783622059762434,0.040043158279058536
2018-03-29,-0.04554025753701189,0.06645229598930108,0.008262907964371935
2018-03-30,-0.049673579636400164,-0.07815679906288431,-0.1438916842660858
2018-04-02,-0.0382012628602604,-0.0705904382805054,-0.13351491321435963
2018-04-03,-0.12755116349282122,-0.07095046838780387,-0.07331947259176416
2018-04-04,-0.057496383929768045,0.056637001169044555,-0.025696753961261067
2018-04-05,-0.0073102668201830475,-0.05340676816130161,0.03724798110664229
2018-04-06,0.011011216277342356,0.11619146471115435,0.1310928212616732
2018-04-09,-0.07103161453685095,-0.03341620707448408,0.05335399932752675
2018-04-10,-0.022510731864628306,0.04272576772811232,0.1038241536057741
2018-04-11,-0.05391936167028374,0.01842896386110954,0.0625989165815437
2018-04-12,-0.0740545092749113,-0.08866947701907717,-0.000358029820853957
2018-04-13,-0.012863536016559077,0.02867365548309295,0.0594904574552012
2018-04-16,-0.003811651755495261,0.017278764808565057,0.06590144863317982
2018-04-17,0.008421037448727872,0.02824870855423771,0.06111224092927097
