Date,コード,銘柄名,Open,High,Low,Close,Volume,Return_1,MA5,MA25,MA75,MA5_ratio,MA25_ratio,MA75_ratio,Volatility,Volume_change,HL_range,RSI,Return_1_rank,MA5_ratio_rank,MA25_ratio_rank,MA75_ratio_rank,Volatility_rank,Volume_change_rank,HL_range_rank,RSI_rank,FutureReturn_5,Target,Pred,PredRank,regime,predict_date,target_date
2026-03-27,3944.T,古林紙工,2372.0,2372.0,2372.0,2372.0,100.0,0.0,2393.2,2580.48,2509.54978515625,0.9911415677753636,0.9192088293650793,0.9451894574995706,0.018450995054181418,-0.75,0.0,15.817694369973196,0.3621786376888418,0.09195710455764075,0.08092485549132948,0.22747374239911552,0.32953340402969244,0.017838125665601706,0.003485254691689008,0.003576341127922971,,,0.6098900625244633,1,weak,2026-03-27,2026-04-03
2026-03-27,7265.T,エイケン工業,3470.0,3475.0,3470.0,3470.0,400.0,-0.018387553041018356,3500.0,3553.8,3556.133333333333,0.9914285714285714,0.9764196071810456,0.9757789359229125,0.013010993279131772,,0.001440922190201729,38.35616438356164,0.06758547574874106,0.09517426273458444,0.415083952656207,0.3706467661691542,0.14766702014846236,0.998136315228967,0.014209115281501341,0.2530949105914718,,,0.5940240117811134,2,weak,2026-03-27,2026-04-03
2026-03-27,7794.T,イーディーピー,1314.0,1314.0,1314.0,1314.0,313800.0,0.29585798816568043,1126.4,1272.08,881.88,1.1665482954545454,1.0329539022702976,1.489998639270649,0.08996027550782533,-0.5270535041446873,0.0,55.143160127253445,1.0,0.9981233243967829,0.9039361409303606,0.9939192924267551,0.9883351007423118,0.06443024494142705,0.003485254691689008,0.8365887207702889,,,0.5913522229025588,3,weak,2026-03-27,2026-04-03
2026-03-27,9254.T,ラバブルマーケティンググループ,1152.0,1152.0,1152.0,1152.0,200.0,0.0,1154.0,1180.2,1188.3866666666668,0.9982668977469671,0.9761057447890188,0.9693814583356707,0.012518876403401621,-0.6666666666666667,0.0,39.55223880597015,0.3621786376888418,0.19061662198391421,0.4112303881090008,0.33388612493090103,0.13096500530222693,0.03367944621938232,0.003485254691689008,0.29601100412654746,,,0.5765794449185674,4,weak,2026-03-27,2026-04-03
2026-03-27,291A.T,リスキル,2784.0,2790.0,2784.0,2790.0,1000.0,-0.003215434083601254,2800.8,3037.56,3272.5866666666666,0.9961439588688945,0.9185003753012286,0.8525366274995518,0.018225351567496238,-0.8,0.002150537634408602,23.36769759450172,0.25125894513649616,0.14745308310991956,0.0789980732177264,0.05251520176893311,0.32343584305408274,0.011448349307774228,0.018230563002680965,0.021458046767537826,,,0.5763188504455803,5,weak,2026-03-27,2026-04-03
2026-03-27,7058.T,共栄セキュリティーサービス,2975.0,2975.0,2975.0,2975.0,100.0,-0.02298850574712641,3004.6,3022.84,2991.7066666666665,0.9901484390601079,0.9841738232920035,0.9944156735508829,0.017075727626325064,-0.9,0.0,43.24324324324324,0.049297641134375826,0.08418230563002681,0.5059179741260666,0.48313985627418465,0.2889713679745493,0.0038604898828541,0.003485254691689008,0.4594222833562586,,,0.5727562101641638,6,weak,2026-03-27,2026-04-03
2026-03-27,6159.T,ミクロン精密,2150.0,2155.0,2150.0,2150.0,1100.0,-0.022727272727272707,2163.0,2264.48,2196.786666666667,0.9939898289412853,0.9494453472761959,0.9787022256750768,0.02855588457571902,0.22222222222222232,0.002325581395348837,40.38461538461539,0.04969520275642725,0.11983914209115282,0.20121112028626478,0.3894416804864566,0.6394485683987274,0.437566560170394,0.019571045576407507,0.3323246217331499,,,0.5716250412612877,7,weak,2026-03-27,2026-04-03
2026-03-27,2152.T,幼児活動研究会,1470.0,1470.0,1470.0,1470.0,1300.0,-0.007427413909520619,1476.0,1491.84,1459.4266666666667,0.9959349593495935,0.9853603603603605,1.0072448541436363,0.02256489937293291,-0.2777777777777778,0.0,52.87356321839081,0.17095149748210972,0.1447721179624665,0.5188549408202587,0.5737976782752903,0.4676564156945917,0.15708200212992546,0.003485254691689008,0.788445667125172,,,0.569540506948567,8,weak,2026-03-27,2026-04-03
2026-03-27,3953.T,大村紙業,797.0,808.0,780.0,786.0,11400.0,-0.027227722772277252,801.0,822.96,813.92,0.9812734082397003,0.9550889472149314,0.9656968743856891,0.017801785358221186,6.6,0.035623409669211195,41.08527131782945,0.031804929764113435,0.043163538873994635,0.23864574731626756,0.3137092316196794,0.3107104984093319,0.9832268370607029,0.8115281501340482,0.3634112792297111,,,0.5665673078945078,9,weak,2026-03-27,2026-04-03
2026-03-27,5380.T,新東,1539.0,1539.0,1539.0,1539.0,100.0,0.0,1537.8,1585.68,1611.52,1.0007803355442841,0.9705615256546087,0.9549990071485306,0.01760512212992785,-0.8571428571428572,0.0,40.37735849056604,0.3621786376888418,0.2592493297587131,0.35562895678502615,0.2683803206191266,0.30593849416755037,0.006656017039403621,0.003485254691689008,0.3314993122420908,,,0.5656867439476695,10,weak,2026-03-27,2026-04-03
2026-03-27,5125.T,ファインズ,645.0,645.0,643.0,644.0,3400.0,-0.009230769230769265,647.4,657.88,719.5333333333333,0.9947482236638864,0.9789019274031738,0.8950245529509868,0.023282333561239144,0.030303030303030276,0.003105590062111801,45.11278195488722,0.14444738934534854,0.1294906166219839,0.44288466831819434,0.10751796572692095,0.4867444326617179,0.3242811501597444,0.023324396782841823,0.5337001375515819,,,0.5629493688425875,11,weak,2026-03-27,2026-04-03
2026-03-27,6570.T,共和コーポレーション,1279.0,1300.0,1230.0,1230.0,37800.0,-0.046511627906976716,1270.6,1291.76,1238.84,0.9680465921611837,0.9521892611630643,0.9928642924025702,0.016299648886985568,8.0,0.056910569105691054,31.455399061032864,0.009011396766498807,0.018498659517426273,0.2180016515276631,0.4720840243228303,0.2632555673382821,0.9862886048988285,0.9423592493297587,0.0858321870701513,,,0.5626807955855182,12,weak,2026-03-27,2026-04-03
2026-03-27,4378.T,ＣＩＮＣ,475.0,475.0,452.0,456.0,10600.0,-0.023554603854389677,470.0,480.08,490.6666666666667,0.9702127659574468,0.9498416930511582,0.9293478260869565,0.017401889442350948,9.6,0.05043859649122807,31.067961165048544,0.04585210707659687,0.02198391420911528,0.20286264794935316,0.18159203980099503,0.3006362672322375,0.9885516506922257,0.9158176943699732,0.08088033012379642,,,0.5617518831530588,13,weak,2026-03-27,2026-04-03
2026-03-27,6820.T,アイコム,2957.0,2975.0,2924.0,2926.0,153100.0,-0.014482990906029003,2944.0,3073.8,2989.72,0.9938858695652174,0.9519161949378618,0.9786869673414234,0.022476828361042128,4.843511450381679,0.017429938482570063,38.01418439716311,0.09090909090909091,0.11849865951742627,0.21552436003303055,0.38916528468767275,0.4642099681866384,0.9776357827476039,0.3705093833780161,0.24264099037138928,,,0.5612736215424513,14,weak,2026-03-27,2026-04-03
2026-03-27,143A.T,イシン,752.0,752.0,752.0,752.0,100.0,-0.019556714471968717,752.0,769.84,807.76,1.0,0.9768263535280057,0.9309695949291868,0.020211904825343453,-0.875,0.0,41.935483870967744,0.061224489795918366,0.2403485254691689,0.4194880264244426,0.18629076838032063,0.39050901378579,0.005324813631522897,0.003485254691689008,0.40398899587345255,,,0.5612709835367891,15,weak,2026-03-27,2026-04-03
2026-03-27,5966.T,京都機械工具,2463.0,2463.0,2463.0,2463.0,100.0,-0.014800000000000035,2460.2,2514.84,2503.32,1.001138118852126,0.9793863625518919,0.9838933895786395,0.012183826936039184,-0.9,0.0,40.289855072463766,0.0864033925258415,0.27211796246648795,0.44921552436003304,0.41459369817578773,0.12221633085896076,0.0038604898828541,0.003485254691689008,0.32709766162310866,,,0.5593936539797085,16,weak,2026-03-27,2026-04-03
2026-03-27,7524.T,マルシェ,176.0,178.0,168.0,173.0,82100.0,-0.02259887005649719,176.4,180.76,188.6,0.9807256235827664,0.95707014826289,0.9172852598091199,0.01508920131565162,13.927272727272728,0.057803468208092484,29.629629629629633,0.05035780545984628,0.04048257372654156,0.25075695017891547,0.14953012714206745,0.21606574761399788,0.9917465388711395,0.9436997319034852,0.06203576341127923,,,0.5591993694840319,17,weak,2026-03-27,2026-04-03
2026-03-27,5921.T,川岸工業,4260.0,4320.0,4260.0,4280.0,2400.0,-0.010404624277456698,4310.0,4405.2,4350.466666666666,0.9930394431554525,0.9715790429492418,0.9838025039459369,0.007831581502100237,,0.014018691588785047,25.675675675675677,0.12735223959713757,0.1096514745308311,0.3636113404899532,0.4134881149806523,0.04559915164369035,0.998136315228967,0.23847184986595174,0.030811554332874826,,,0.5585819250126149,18,weak,2026-03-27,2026-04-03
2026-03-27,7461.T,キムラ,476.0,483.0,476.0,480.0,3100.0,0.0020876826722338038,481.8,502.4,502.28,0.9962640099626401,0.9554140127388535,0.9556422712431314,0.013337173014954521,14.5,0.014583333333333334,32.30769230769231,0.45441293400477073,0.14906166219839143,0.24057252958987063,0.27059148700939745,0.15668080593849418,0.9928115015974441,0.25817694369973193,0.10343878954607978,,,0.5583812609669047,19,weak,2026-03-27,2026-04-03
2026-03-27,5071.T,ヴィス,1514.0,1523.0,1443.0,1502.0,13900.0,-0.013788575180564644,1546.4,1620.2,1505.6266666666668,0.97128815312985,0.9270460436983088,0.997591257682294,0.01652927195003019,5.043478260869565,0.05326231691078562,23.357664233576642,0.09806520010601644,0.023324396782841823,0.10349573355353703,0.5093974571586511,0.27120890774125134,0.9787007454739084,0.9310991957104557,0.021182943603851444,,,0.5578248459064249,20,weak,2026-03-27,2026-04-03
2026-03-27,3079.T,ディーブイエックス,1178.0,1195.0,1168.0,1175.0,51600.0,-0.005080440304826461,1179.6,1203.52,1209.44,0.9961003730077993,0.9763028449880351,0.971524011112581,0.0172508867134844,14.176470588235293,0.02297872340425532,44.61538461538461,0.2056718791412669,0.14718498659517426,0.41370767960363336,0.3468767274737424,0.2953340402969247,0.9922790202342918,0.5554959785522788,0.5136176066024759,,,0.5574150116909211,21,weak,2026-03-27,2026-04-03
2026-03-27,7079.T,ＷＤＢココ,2668.0,2668.0,2632.0,2637.0,600.0,-0.011619190404797641,2644.6,2696.52,2708.5333333333333,0.9971262194660818,0.977927106047795,0.9735896426110072,0.012620945272362707,,0.013651877133105802,40.401146131805156,0.11688311688311688,0.16273458445040215,0.43214973850812,0.35959093421779986,0.13494167550371156,0.998136315228967,0.2274798927613941,0.3325997248968363,,,0.5568282508612428,22,weak,2026-03-27,2026-04-03
2026-03-27,3695.T,ＧＭＯプロダクトプラットフォーム,1700.0,1700.0,1693.0,1694.0,12500.0,-0.013395457192778126,1703.6,1738.0,1932.92908203125,0.9943648743836582,0.9746835443037974,0.8763901457883972,0.017141102181264627,3.3103448275862073,0.004132231404958678,39.33333333333333,0.10098065200106017,0.12332439678284182,0.3947151114781173,0.07904919845218353,0.2916224814422057,0.9574014909478168,0.02975871313672922,0.2867950481430536,,,0.556011426263578,23,weak,2026-03-27,2026-04-03
2026-03-27,3848.T,データ・アプリケーション,968.0,973.0,946.0,952.0,91700.0,-0.016528925619834656,972.4,972.36,949.9733333333334,0.9790209790209791,0.9790612530338557,1.0021333932180552,0.017181387436359653,4.2102272727272725,0.028361344537815126,46.540880503144656,0.07606679035250463,0.035656836461126,0.44591246903385634,0.542841348811498,0.2924178154825027,0.9715122470713525,0.6957104557640751,0.5859697386519945,,,0.5546054928684885,24,weak,2026-03-27,2026-04-03
